,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9
1,really,percent,problem,billion,politicians,israel,net,money,trump
2,love,totally,table,trillion,probably,deal,iran,mexico,country
3,deal,everything,horrible,problems,family,iran,hotel,iraq,china
4,military,car,attacks,trade,nuclear,state,called,worth,building
5,terrible,use,received,thought,arabia,terror,airports,donald,wanted
6,maybe,using,absolutely,soon,hear,jewish,oh,stupid,job
7,disaster,biggest,friend,education,father,palestinian,border,rich,saying
8,web,side,incredible,sending,care,nations,play,countries,built
9,work,west,miles,wall,folks,missiles,mine,kind,site
10,away,third,palestine,friend,hit,peace,work,truly,buy
11,wonderful,deals,mean,frankly,disaster,support,third,border,answer
12,assets,group,choice,weapons,negotiate,dismantle,obama,common,talk
13,elected,wrong,reporter,done,become,willing,chance,speeches,happening
14,point,beat,islamic,18,exist,hate,oil,question,isis
15,used,early,supporting,obamacare,greatest,100,enemy,sent,sorts
16,ago,controlled,ally,ph,tower,violate,labor,else,leader
17,debt,company,unbreakable,took,cheerleader,already,recently,remember,tax
18,save,tennessee,democracy,military,plant,terms,example,opposite,general
19,came,washington,far,bank,core,iran's,government,anybody's,billion
20,iran,syria,capability,worst,york,behavior,hey,makes,military
