"","Words","Frequency"
"1","wall",65
"2","street",64
"3","country",48
"4","financial",32
"5","banks",30
"6","percent",28
"7","millions",27
"8","system",26
"9","economy",25
"10","political",23
"11","class",20
"12","wealth",19
"13","means",19
"14","work",18
"15","working",17
"16","vote",17
"17","billion",17
"18","economic",16
"19","congress",16
"20","isis",16
"21","money",15
"22","bank",15
"23","banking",14
"24","fight",14
"25","credit",13
"26","create",13
"27","change",13
"28","power",12
"29","government",12
"30","free",12
"31","federal",12
"32","major",12
"33","socialism",12
"34","nations",12
"35","greed",11
"36","paying",11
"37","support",11
"38","act",10
"39","illegal",10
"40","roosevelt",10
"41","justice",10
"42","income",9
"43","wealthiest",9
"44","business",9
"45","fail",9
"46","institutions",9
"47","jail",9
"48","road",9
"49","health",9
"50","interests",8
"51","nearly",8
"52","largest",8
"53","huge",8
"54","fraud",8
"55","corporate",8
"56","insurance",8
"57","small",8
"58","without",8
"59","reserve",8
"60","large",8
"61","public",8
"62","climate",8
"63","tax",8
"64","countries",8
"65","super",8
"66","care",8
"67","bottom",7
"68","contributions",7
"69","glass.steagall",7
"70","poverty",7
"71","executives",7
"72","crisis",7
"73","works",7
"74","policy",7
"75","rates",7
"76","yet",7
"77","morgan",7
"78","chase",7
"79","view",7
"80","law",7
"81","fed",7
"82","kids",7
"83","powerful",7
"84","provide",7
"85","rights",7
"86","war",7
"87","wrong",6
"88","X1",6
"89","rigged",6
"90","handful",6
"91","billionaires",6
"92","jp",6
"93","secretary",6
"94","real",6
"95","including",6
"96","corporations",6
"97","headline",6
"98","X5",6
"99","trying",6
"100","wealthy",6
