"","Words","Frequency"
"1","israel",43
"2","trump",41
"3","deal",28
"4","country",27
"5","iran",23
"6","china",22
"7","really",21
"8","billion",18
"9","military",15
"10","love",15
"11","problem",14
"12","money",14
"13","mexico",13
"14","iraq",12
"15","state",11
"16","building",11
"17","friend",9
"18","terror",9
"19","work",9
"20","disaster",9
"21","trillion",9
"22","job",9
"23","obama",8
"24","trade",8
"25","wanted",8
"26","jewish",7
"27","politicians",7
"28","palestinian",7
"29","border",7
"30","problems",7
"31","family",7
"32","worth",7
"33","percent",6
"34","nuclear",6
"35","terrible",6
"36","weapons",6
"37","horrible",6
"38","totally",6
"39","third",6
"40","maybe",6
"41","hear",6
"42","kind",6
"43","nations",6
"44","done",6
"45","table",6
"46","happening",6
"47","saying",6
"48","donald",6
"49","common",6
"50","real",6
"51","thought",6
"52","obamacare",6
"53","web",6
"54","stupid",6
"55","net",6
"56","frankly",5
"57","support",5
"58","talk",5
"59","terms",5
"60","folks",5
"61","please",5
"62","saudi",5
"63","arabia",5
"64","countries",5
"65","trying",5
"66","missiles",5
"67","away",5
"68","next.",5
"69","total",5
"70","use",5
"71","deals",5
"72","become",5
"73","peace",5
"74","hate",5
"75","soon",5
"76","education",5
"77","isis",5
"78","truly",5
"79","wonderful",5
"80","beat",5
"81","sending",5
"82","probably",5
"83","rich",5
"84","built",5
"85","hotel",5
"86","oil",5
"87","site",5
"88","lobbyists",5
"89","leader",5
"90","care",5
"91","cheerleader",5
"92","proud",5
"93","buy",5
"94","everything",5
"95","car",5
"96","wall",5
"97","call",5
"98","answer",5
"99","airports",5
"100","assets",5
